Zipcode,Neighborhood,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Home Value,Persons with Bachelor Degree,People in Labor Force,People Unemployed,Unemployment Rate,Lat,Lng
22427,Bowling Green,3702.0,31.5,42232.0,20651.0,447.0,12.07,196800.0,246.0,2039.0,253.0,12.41,38.0137,-77.1802
22514,Milford,2451.0,44.6,49271.0,23579.0,239.0,9.75,147800.0,95.0,1220.0,119.0,9.75,38.0058,-77.3185
22535,Port Royal,362.0,52.3,51100.0,38654.0,54.0,14.92,239600.0,41.0,272.0,11.0,4.04,38.1621,-77.1837
22538,Rappahannock Academy,255.0,42.8,103021.0,33144.0,0.0,0.0,156300.0,4.0,102.0,0.0,0.0,38.2079,-77.2502
22546,Ruther Glen,15952.0,36.9,61637.0,26850.0,1976.0,12.39,186900.0,1312.0,8723.0,1166.0,13.37,37.9451,-77.4714
22580,Woodford,5249.0,39.2,49740.0,23787.0,718.0,13.68,185300.0,417.0,2584.0,241.0,9.33,38.0847,-77.4399
23002,Amelia Court House,11071.0,40.5,53193.0,24940.0,938.0,8.47,190000.0,879.0,5101.0,389.0,7.63,37.3428,-77.9841
23005,Ashland,14798.0,41.6,54855.0,29893.0,948.0,6.41,249700.0,1897.0,8132.0,611.0,7.51,37.7395,-77.4784
23009,Aylett,6337.0,37.8,65473.0,27022.0,266.0,4.2,199600.0,655.0,3470.0,227.0,6.54,37.8221,-77.1885
23011,Barhamsville,1751.0,43.2,57188.0,26493.0,7.0,0.4,270300.0,81.0,735.0,56.0,7.62,37.4617,-76.8321
23015,Beaverdam,4388.0,44.0,76620.0,30173.0,525.0,11.96,278000.0,679.0,2232.0,174.0,7.8,37.9038,-77.6308
23030,Charles City,4907.0,48.3,48102.0,26256.0,539.0,10.98,145700.0,319.0,2528.0,230.0,9.1,37.3663,-77.1082
23038,Columbia,1437.0,47.9,50750.0,25763.0,285.0,19.83,207200.0,133.0,700.0,4.0,0.57,37.7147,-78.1794
23039,Crozier,1074.0,41.8,83750.0,41879.0,9.0,0.84,284200.0,154.0,599.0,0.0,0.0,37.6718,-77.794
23047,Doswell,1698.0,47.3,69833.0,30714.0,87.0,5.12,270300.0,284.0,993.0,39.0,3.93,37.8417,-77.5125
23059,Glen Allen,33940.0,38.0,104163.0,44947.0,1057.0,3.11,356900.0,7624.0,17831.0,707.0,3.97,37.7284,-77.5544
23060,Glen Allen,33848.0,39.1,79480.0,35837.0,2204.0,6.51,245800.0,6537.0,18759.0,921.0,4.91,37.6628,-77.53399999999999
23063,Goochland,5625.0,39.1,61938.0,24780.0,490.0,8.71,235300.0,739.0,2349.0,125.0,5.32,37.7688,-78.0112
23065,Gum Spring,2068.0,45.6,78008.0,34125.0,53.0,2.56,221200.0,180.0,1066.0,58.0,5.44,37.7982,-77.9375
23069,Hanover,3625.0,45.9,77604.0,27690.0,176.0,4.86,253500.0,425.0,1647.0,98.0,5.95,37.7701,-77.3216
23075,Highland Springs,10541.0,34.9,41703.0,21152.0,1685.0,15.99,150100.0,548.0,5776.0,849.0,14.7,37.546,-77.3278
23083,Jetersville,1176.0,51.3,49770.0,24365.0,105.0,8.93,129200.0,47.0,582.0,58.0,9.97,37.3176,-78.104
23086,King William,2705.0,45.0,55800.0,26269.0,319.0,11.79,188400.0,194.0,1529.0,16.0,1.05,37.7202,-77.0998
23089,Lanexa,5015.0,40.2,70129.0,30892.0,820.0,16.35,272800.0,648.0,2725.0,404.0,14.83,37.4194,-76.9027
23102,Maidens,3342.0,43.7,92346.0,32064.0,35.0,1.05,328100.0,426.0,1448.0,48.0,3.31,37.7126,-77.8315
23103,Manakin Sabot,4381.0,53.7,106750.0,67963.0,134.0,3.06,534700.0,1091.0,2310.0,112.0,4.85,37.638000000000005,-77.7077
23106,Manquin,1270.0,31.2,45125.0,16816.0,497.0,39.13,200200.0,59.0,445.0,15.0,3.37,37.7184,-77.186
23111,Mechanicsville,36754.0,39.8,67346.0,30480.0,1821.0,4.95,234300.0,4901.0,19373.0,949.0,4.9,37.6281,-77.3395
23112,Midlothian,50595.0,35.1,80830.0,33038.0,2006.0,3.96,240000.0,8929.0,27307.0,1482.0,5.43,37.431,-77.6545
23113,Midlothian,23811.0,46.0,110574.0,55819.0,907.0,3.81,391200.0,5995.0,11677.0,557.0,4.77,37.5109,-77.6429
23114,Midlothian,18676.0,35.7,86763.0,36364.0,780.0,4.18,279300.0,4112.0,9589.0,456.0,4.76,37.4815,-77.6419
23116,Mechanicsville,28115.0,40.6,102891.0,38876.0,883.0,3.14,299800.0,5778.0,15524.0,687.0,4.43,37.6691,-77.3294
23120,Moseley,6193.0,39.1,118564.0,39253.0,76.0,1.23,361700.0,1257.0,3379.0,164.0,4.85,37.426,-77.7585
23124,New Kent,3436.0,39.4,69974.0,27519.0,173.0,5.03,247500.0,209.0,1867.0,169.0,9.05,37.553000000000004,-77.0742
23129,Oilville,320.0,41.9,110517.0,42027.0,0.0,0.0,463900.0,73.0,197.0,34.0,17.26,37.704,-77.7853
23139,Powhatan,23815.0,42.7,73868.0,33519.0,1284.0,5.39,262200.0,3344.0,12670.0,838.0,6.61,37.5421,-77.9189
23140,Providence Forge,5694.0,44.1,66463.0,32257.0,447.0,7.85,233500.0,752.0,3027.0,177.0,5.85,37.4418,-77.0436
23141,Quinton,5816.0,44.3,70257.0,33418.0,226.0,3.89,239000.0,814.0,3587.0,340.0,9.48,37.5185,-77.1486
23146,Rockville,3107.0,47.0,77207.0,37414.0,182.0,5.86,325900.0,493.0,1568.0,64.0,4.08,37.7337,-77.7
23150,Sandston,12117.0,39.8,61273.0,26762.0,1361.0,11.23,167600.0,1131.0,6866.0,703.0,10.24,37.5157,-77.2758
23153,Sandy Hook,1073.0,54.2,76964.0,63814.0,21.0,1.96,313900.0,181.0,563.0,13.0,2.31,37.7526,-77.9125
23181,West Point,5618.0,39.7,63288.0,26601.0,409.0,7.28,220000.0,588.0,3019.0,250.0,8.28,37.5556,-76.8237
23192,Montpelier,6382.0,47.5,71458.0,38256.0,279.0,4.37,248400.0,863.0,3613.0,272.0,7.53,37.8177,-77.6924
23219,Richmond,3284.0,25.4,19231.0,24403.0,1274.0,38.79,244100.0,368.0,1440.0,254.0,17.64,37.5463,-77.4378
23220,Richmond,35002.0,25.3,32684.0,24057.0,11353.0,32.44,233800.0,4940.0,20893.0,2781.0,13.31,37.5498,-77.4588
23221,Richmond,14702.0,33.8,56219.0,44838.0,1803.0,12.26,324800.0,4412.0,9863.0,560.0,5.68,37.5583,-77.4845
23222,Richmond,25820.0,36.4,34234.0,18240.0,6390.0,24.75,124000.0,1905.0,12615.0,1848.0,14.65,37.5748,-77.4267
23223,Richmond,48111.0,33.1,36855.0,21085.0,12983.0,26.99,153300.0,4157.0,23110.0,2655.0,11.49,37.5477,-77.3948
23224,Richmond,35885.0,30.8,33141.0,15740.0,11411.0,31.8,122600.0,1658.0,17902.0,2953.0,16.5,37.4955,-77.471
23225,Richmond,39470.0,37.8,43683.0,27214.0,6163.0,15.61,196700.0,5769.0,22619.0,1823.0,8.06,37.5158,-77.5047
23226,Richmond,15078.0,37.6,76599.0,60491.0,831.0,5.51,285800.0,4300.0,8741.0,437.0,5.0,37.5825,-77.5197
23227,Richmond,25961.0,41.4,45823.0,28480.0,3670.0,14.14,223000.0,4240.0,13804.0,1378.0,9.98,37.6247,-77.4351
23228,Laurel,33844.0,35.1,44224.0,23998.0,5267.0,15.56,172200.0,4641.0,20157.0,2010.0,9.97,37.4638,-77.398
23229,Tuckahoe,32930.0,41.4,71638.0,44244.0,3148.0,9.56,277800.0,6709.0,17257.0,1162.0,6.73,37.4638,-77.398
23230,Richmond,5360.0,42.0,53606.0,33550.0,433.0,8.08,203600.0,992.0,3284.0,158.0,4.81,37.5921,-77.4952
23231,Richmond,35211.0,38.3,53705.0,26308.0,5371.0,15.25,181900.0,3569.0,19574.0,2140.0,10.93,37.4638,-77.398
23233,Short Pump,29081.0,38.7,91741.0,44702.0,1361.0,4.68,307300.0,7663.0,16777.0,810.0,4.83,37.4638,-77.398
23234,Meadowbrook,42360.0,33.7,46279.0,21281.0,7201.0,17.0,161000.0,3358.0,22085.0,2293.0,10.38,37.4373,-77.4788
23235,Bon Air,29522.0,43.6,67956.0,38191.0,2157.0,7.31,223100.0,6304.0,16448.0,1225.0,7.45,37.5133,-77.5646
23236,Richmond,26234.0,40.8,74141.0,33515.0,1686.0,6.43,212100.0,4620.0,14609.0,1102.0,7.54,37.4782,-77.5854
23237,Richmond,21807.0,36.9,54735.0,23503.0,2369.0,10.86,167900.0,1711.0,11635.0,1178.0,10.12,37.4011,-77.4615
23238,Richmond,25848.0,42.3,64927.0,42323.0,1982.0,7.67,271100.0,5880.0,13444.0,662.0,4.92,37.52,-77.4369
23294,Richmond,17222.0,30.6,52071.0,27235.0,1978.0,11.49,193400.0,2798.0,10350.0,860.0,8.31,37.4638,-77.398
23803,Petersburg,40187.0,37.8,39607.0,20029.0,8763.0,21.81,147000.0,2202.0,18675.0,2732.0,14.63,37.2123,-77.4814
23805,Petersburg,19793.0,42.0,47366.0,25032.0,2538.0,12.82,160200.0,1850.0,10039.0,974.0,9.7,37.1819,-77.3854
23830,Carson,1106.0,53.5,58825.0,27070.0,30.0,2.71,158800.0,18.0,649.0,28.0,4.31,37.0393,-77.4351
23831,Chester,33130.0,38.5,66239.0,30510.0,2330.0,7.03,222500.0,4085.0,17942.0,1235.0,6.88,37.3429,-77.4156
23832,Chesterfield,32263.0,37.2,75942.0,31379.0,1531.0,4.75,221300.0,4691.0,17806.0,1268.0,7.12,37.3923,-77.5668
23833,Church Road,2501.0,41.9,53684.0,22613.0,287.0,11.48,182000.0,115.0,1207.0,181.0,15.0,37.195,-77.6646
23834,Colonial Heights,25887.0,39.7,54548.0,27787.0,2411.0,9.31,190700.0,2303.0,12995.0,1040.0,8.0,37.27,-77.4038
